"date_sk","date","year","trimestre","month","day","version","date_from","date_to"
241,"1997-02-25 00:00:00",1997,1,2,25,1,"1900-01-01 00:00:00","2199-12-31 23:59:59"
242,"1997-02-26 00:00:00",1997,1,2,26,1,"1900-01-01 00:00:00","2199-12-31 23:59:59"
243,"1997-02-27 00:00:00",1997,1,2,27,1,"1900-01-01 00:00:00","2199-12-31 23:59:59"
244,"1997-02-28 00:00:00",1997,1,2,28,1,"1900-01-01 00:00:00","2199-12-31 23:59:59"
245,"1997-03-01 00:00:00",1997,1,3,1,1,"1900-01-01 00:00:00","2199-12-31 23:59:59"
246,"1997-03-02 00:00:00",1997,1,3,2,1,"1900-01-01 00:00:00","2199-12-31 23:59:59"
247,"1997-03-03 00:00:00",1997,1,3,3,1,"1900-01-01 00:00:00","2199-12-31 23:59:59"
248,"1997-03-04 00:00:00",1997,1,3,4,1,"1900-01-01 00:00:00","2199-12-31 23:59:59"
249,"1997-03-05 00:00:00",1997,1,3,5,1,"1900-01-01 00:00:00","2199-12-31 23:59:59"
250,"1997-03-06 00:00:00",1997,1,3,6,1,"1900-01-01 00:00:00","2199-12-31 23:59:59"
251,"1997-03-07 00:00:00",1997,1,3,7,1,"1900-01-01 00:00:00","2199-12-31 23:59:59"
252,"1997-03-08 00:00:00",1997,1,3,8,1,"1900-01-01 00:00:00","2199-12-31 23:59:59"
